Destination,Mood,Temperature (°C),Duration Range (days),Activities,Physicality (1–5),Family Friendly,Budget ($/day),Security (1–5)
"Santorini, Greece",Energetic,20–30,4–7,"Views, Wine Tours, Sailing",4,Yes,95,5
"Santorini, Greece",Romantic,20–30,10–15,"Views, Wine Tours, Sailing",5,Yes,114,5
"Santorini, Greece",Adventurous,20–30,7–14,"Views, Wine Tours, Sailing",5,Yes,98,4
"Banff, Canada",Peaceful,-10–15,5–10,"Hiking, Wildlife, Lakes",4,Yes,130,5
"Banff, Canada",Romantic,-10–15,3–5,"Hiking, Wildlife, Lakes",4,Yes,122,5
"Banff, Canada",Romantic,-10–15,5–8,"Hiking, Wildlife, Lakes",4,Yes,153,3
"Banff, Canada",Exotic,-10–15,7–14,"Hiking, Wildlife, Lakes",4,Yes,106,3
"Banff, Canada",Vibrant,-10–15,3–5,"Hiking, Wildlife, Lakes",5,Yes,105,3
"Banff, Canada",Energetic,-10–15,5–8,"Hiking, Wildlife, Lakes",1,Yes,139,4
"Dubai, UAE",Luxury,25–45,3–6,"Shopping, Desert Safari, Skyscrapers",2,Yes,200,4
"Dubai, UAE",Vibrant,25–45,5–8,"Shopping, Desert Safari, Skyscrapers",4,Yes,186,4
"Dubai, UAE",Relaxed,25–45,7–14,"Shopping, Desert Safari, Skyscrapers",1,Yes,166,4
"Dubai, UAE",Calm,25–45,5–10,"Shopping, Desert Safari, Skyscrapers",4,Yes,200,3
"Dubai, UAE",Energetic,25–45,7–14,"Shopping, Desert Safari, Skyscrapers",4,Yes,185,4
"Dubai, UAE",Relaxed,25–45,5–8,"Shopping, Desert Safari, Skyscrapers",5,Yes,193,4
"Patagonia, Chile",Wild,-2–18,10–15,"Trekking, Nature, Wildlife",5,No,90,4
"Patagonia, Chile",Vibrant,-2–18,4–7,"Trekking, Nature, Wildlife",3,No,104,4
"Patagonia, Chile",Vibrant,-2–18,4–7,"Trekking, Nature, Wildlife",4,No,103,3
"Patagonia, Chile",Vibrant,-2–18,3–5,"Trekking, Nature, Wildlife",3,No,73,3
"Patagonia, Chile",Exotic,-2–18,10–15,"Trekking, Nature, Wildlife",5,No,89,3
"Patagonia, Chile",Vibrant,-2–18,5–10,"Trekking, Nature, Wildlife",2,No,102,4
"Paris, France",Romantic,5–25,3–7,"Museums, Cafes, Landmarks",1,Yes,150,5
"Paris, France",Energetic,5–25,3–5,"Museums, Cafes, Landmarks",5,Yes,173,4
"Paris, France",Energetic,5–25,5–10,"Museums, Cafes, Landmarks",2,Yes,122,3
"Paris, France",Vibrant,5–25,7–14,"Museums, Cafes, Landmarks",2,Yes,134,5
"Paris, France",Romantic,5–25,3–5,"Museums, Cafes, Landmarks",3,Yes,150,3
"Paris, France",Vibrant,5–25,7–14,"Museums, Cafes, Landmarks",1,Yes,129,4
"Bangkok, Thailand",Lively,25–35,4–10,"Temples, Street Food, Shopping",2,Yes,50,4
"Bangkok, Thailand",Relaxed,25–35,10–15,"Temples, Street Food, Shopping",1,Yes,41,4
"Bangkok, Thailand",Adventurous,25–35,4–7,"Temples, Street Food, Shopping",4,Yes,42,3
"Bangkok, Thailand",Exotic,25–35,10–15,"Temples, Street Food, Shopping",3,Yes,50,3
"Bangkok, Thailand",Energetic,25–35,10–15,"Temples, Street Food, Shopping",1,Yes,56,4
"Bangkok, Thailand",Adventurous,25–35,10–15,"Temples, Street Food, Shopping",5,Yes,45,4
"New York City, USA",Energetic,0–30,3–7,"Museums, Broadway, Skyscrapers",2,Yes,180,5
"New York City, USA",Exotic,0–30,4–7,"Museums, Broadway, Skyscrapers",4,Yes,197,3
"New York City, USA",Vibrant,0–30,3–5,"Museums, Broadway, Skyscrapers",5,Yes,209,3
"New York City, USA",Romantic,0–30,4–7,"Museums, Broadway, Skyscrapers",3,Yes,185,4
"New York City, USA",Vibrant,0–30,4–7,"Museums, Broadway, Skyscrapers",4,Yes,177,5
"New York City, USA",Energetic,0–30,10–15,"Museums, Broadway, Skyscrapers",3,Yes,163,3
"Rome, Italy",Historic,10–30,4–7,"Ruins, Food Tours, Art",2,Yes,130,5
"Rome, Italy",Exotic,10–30,5–8,"Ruins, Food Tours, Art",5,Yes,138,4
"Rome, Italy",Energetic,10–30,5–8,"Ruins, Food Tours, Art",4,Yes,105,5
"Rome, Italy",Vibrant,10–30,3–5,"Ruins, Food Tours, Art",3,Yes,112,3
"Rome, Italy",Relaxed,10–30,4–7,"Ruins, Food Tours, Art",4,Yes,105,5
"Rome, Italy",Relaxed,10–30,4–7,"Ruins, Food Tours, Art",2,Yes,127,5
"Zanzibar, Tanzania",Tropical,22–30,5–10,"Beaches, Spice Tours, Snorkeling",2,Yes,70,4
"Zanzibar, Tanzania",Relaxed,22–30,5–10,"Beaches, Spice Tours, Snorkeling",2,Yes,73,4
"Zanzibar, Tanzania",Vibrant,22–30,10–15,"Beaches, Spice Tours, Snorkeling",3,Yes,80,5
"Zanzibar, Tanzania",Calm,22–30,7–14,"Beaches, Spice Tours, Snorkeling",1,Yes,77,3
"Zanzibar, Tanzania",Energetic,22–30,5–10,"Beaches, Spice Tours, Snorkeling",4,Yes,75,3
"Zanzibar, Tanzania",Vibrant,22–30,10–15,"Beaches, Spice Tours, Snorkeling",2,Yes,82,5
"Cusco, Peru",Cultural,5–20,7–10,"Ruins, Trekking, Museums",4,No,80,4
"Cusco, Peru",Energetic,5–20,10–15,"Ruins, Trekking, Museums",4,No,94,5
"Cusco, Peru",Romantic,5–20,5–8,"Ruins, Trekking, Museums",4,No,76,4
"Cusco, Peru",Exotic,5–20,3–5,"Ruins, Trekking, Museums",2,No,82,4
"Cusco, Peru",Exotic,5–20,5–10,"Ruins, Trekking, Museums",2,No,83,4
"Cusco, Peru",Romantic,5–20,10–15,"Ruins, Trekking, Museums",1,No,76,4
"Kyoto, Japan",Tranquil,5–25,3–6,"Temples, Gardens, Tea Ceremonies",1,Yes,100,5
"Kyoto, Japan",Calm,5–25,5–8,"Temples, Gardens, Tea Ceremonies",3,Yes,103,4
"Kyoto, Japan",Vibrant,5–25,4–7,"Temples, Gardens, Tea Ceremonies",2,Yes,118,4
"Kyoto, Japan",Calm,5–25,10–15,"Temples, Gardens, Tea Ceremonies",4,Yes,94,3
"Kyoto, Japan",Exotic,5–25,5–10,"Temples, Gardens, Tea Ceremonies",3,Yes,81,5
"Kyoto, Japan",Exotic,5–25,4–7,"Temples, Gardens, Tea Ceremonies",5,Yes,115,5
"Prague, Czech Republic",Charming,0–25,3–6,"Castles, Bridges, Old Town",1,Yes,90,5
"Prague, Czech Republic",Calm,0–25,7–14,"Castles, Bridges, Old Town",5,Yes,98,4
"Prague, Czech Republic",Relaxed,0–25,5–8,"Castles, Bridges, Old Town",5,Yes,78,4
"Prague, Czech Republic",Vibrant,0–25,4–7,"Castles, Bridges, Old Town",2,Yes,91,4
"Prague, Czech Republic",Romantic,0–25,4–7,"Castles, Bridges, Old Town",3,Yes,91,5
"Prague, Czech Republic",Romantic,0–25,7–14,"Castles, Bridges, Old Town",1,Yes,100,3
"Cape Town, South Africa",Diverse,15–30,5–10,"Beaches, Mountains, Vineyards",3,Yes,100,4
"Cape Town, South Africa",Relaxed,15–30,10–15,"Beaches, Mountains, Vineyards",2,Yes,97,4
"Cape Town, South Africa",Vibrant,15–30,5–10,"Beaches, Mountains, Vineyards",2,Yes,112,3
"Cape Town, South Africa",Exotic,15–30,10–15,"Beaches, Mountains, Vineyards",2,Yes,92,4
"Cape Town, South Africa",Relaxed,15–30,3–5,"Beaches, Mountains, Vineyards",3,Yes,114,3
"Cape Town, South Africa",Energetic,15–30,4–7,"Beaches, Mountains, Vineyards",1,Yes,113,5
"Sydney, Australia",Sunny,15–30,5–10,"Opera House, Beaches, Parks",2,Yes,160,5
"Sydney, Australia",Vibrant,15–30,5–10,"Opera House, Beaches, Parks",1,Yes,134,4
"Sydney, Australia",Romantic,15–30,5–8,"Opera House, Beaches, Parks",2,Yes,159,4
"Sydney, Australia",Adventurous,15–30,7–14,"Opera House, Beaches, Parks",5,Yes,176,5
"Sydney, Australia",Relaxed,15–30,4–7,"Opera House, Beaches, Parks",2,Yes,145,4
"Sydney, Australia",Exotic,15–30,10–15,"Opera House, Beaches, Parks",2,Yes,154,3
"Lisbon, Portugal",Laid-back,10–30,3–6,"Trams, Food, Coastal Walks",1,Yes,90,5
"Lisbon, Portugal",Romantic,10–30,5–8,"Trams, Food, Coastal Walks",4,Yes,107,3
"Lisbon, Portugal",Exotic,10–30,7–14,"Trams, Food, Coastal Walks",4,Yes,73,3
"Lisbon, Portugal",Energetic,10–30,3–5,"Trams, Food, Coastal Walks",5,Yes,90,5
"Lisbon, Portugal",Adventurous,10–30,10–15,"Trams, Food, Coastal Walks",5,Yes,108,4
"Lisbon, Portugal",Calm,10–30,5–8,"Trams, Food, Coastal Walks",3,Yes,75,5
"Istanbul, Turkey",Cultural,10–30,4–7,"Mosques, Bazaars, Cruises",2,Yes,80,4
"Istanbul, Turkey",Exotic,10–30,3–5,"Mosques, Bazaars, Cruises",5,Yes,95,4
"Istanbul, Turkey",Vibrant,10–30,3–5,"Mosques, Bazaars, Cruises",2,Yes,74,4
"Istanbul, Turkey",Romantic,10–30,4–7,"Mosques, Bazaars, Cruises",3,Yes,88,4
"Istanbul, Turkey",Romantic,10–30,3–5,"Mosques, Bazaars, Cruises",1,Yes,73,4
"Istanbul, Turkey",Relaxed,10–30,4–7,"Mosques, Bazaars, Cruises",3,Yes,71,5
"Amalfi Coast, Italy",Romantic,15–30,3–6,"Cliffs, Food, Boat Tours",2,Yes,140,5
"Amalfi Coast, Italy",Relaxed,15–30,4–7,"Cliffs, Food, Boat Tours",2,Yes,121,4
"Amalfi Coast, Italy",Energetic,15–30,5–10,"Cliffs, Food, Boat Tours",3,Yes,118,3
"Amalfi Coast, Italy",Romantic,15–30,7–14,"Cliffs, Food, Boat Tours",1,Yes,140,5
"Amalfi Coast, Italy",Calm,15–30,7–14,"Cliffs, Food, Boat Tours",5,Yes,157,5
"Amalfi Coast, Italy",Energetic,15–30,5–10,"Cliffs, Food, Boat Tours",2,Yes,138,4
"Buenos Aires, Argentina",Lively,10–30,4–8,"Tango, Architecture, Parks",2,Yes,70,4
"Buenos Aires, Argentina",Energetic,10–30,3–5,"Tango, Architecture, Parks",1,Yes,65,5
"Buenos Aires, Argentina",Adventurous,10–30,7–14,"Tango, Architecture, Parks",5,Yes,76,4
"Buenos Aires, Argentina",Relaxed,10–30,3–5,"Tango, Architecture, Parks",2,Yes,68,3
"Buenos Aires, Argentina",Romantic,10–30,5–10,"Tango, Architecture, Parks",3,Yes,59,5
"Buenos Aires, Argentina",Vibrant,10–30,10–15,"Tango, Architecture, Parks",3,Yes,58,4
"Lofoten Islands, Norway",Peaceful,-5–15,4–8,"Fishing, Nature, Northern Lights",3,No,130,5
"Lofoten Islands, Norway",Exotic,-5–15,4–7,"Fishing, Nature, Northern Lights",5,No,133,4
"Lofoten Islands, Norway",Exotic,-5–15,7–14,"Fishing, Nature, Northern Lights",2,No,145,4
"Lofoten Islands, Norway",Adventurous,-5–15,5–10,"Fishing, Nature, Northern Lights",2,No,137,4
"Lofoten Islands, Norway",Calm,-5–15,5–8,"Fishing, Nature, Northern Lights",5,No,118,4
"Lofoten Islands, Norway",Adventurous,-5–15,3–5,"Fishing, Nature, Northern Lights",3,No,144,4
"Seoul, South Korea",Modern,-5–30,4–7,"Shopping, Palaces, Street Food",2,Yes,110,5
"Seoul, South Korea",Energetic,-5–30,4–7,"Shopping, Palaces, Street Food",5,Yes,96,3
"Seoul, South Korea",Exotic,-5–30,7–14,"Shopping, Palaces, Street Food",3,Yes,109,3
"Seoul, South Korea",Romantic,-5–30,3–5,"Shopping, Palaces, Street Food",3,Yes,128,3
"Seoul, South Korea",Exotic,-5–30,7–14,"Shopping, Palaces, Street Food",3,Yes,102,3
"Seoul, South Korea",Exotic,-5–30,5–8,"Shopping, Palaces, Street Food",5,Yes,132,4
"Hanoi, Vietnam",Historic,15–30,4–7,"Temples, Lakes, Street Food",2,Yes,50,4
"Hanoi, Vietnam",Exotic,15–30,7–14,"Temples, Lakes, Street Food",2,Yes,44,4
"Hanoi, Vietnam",Energetic,15–30,10–15,"Temples, Lakes, Street Food",2,Yes,42,3
"Hanoi, Vietnam",Adventurous,15–30,5–10,"Temples, Lakes, Street Food",5,Yes,52,4
"Hanoi, Vietnam",Calm,15–30,10–15,"Temples, Lakes, Street Food",1,Yes,42,3
"Hanoi, Vietnam",Energetic,15–30,4–7,"Temples, Lakes, Street Food",3,Yes,55,4
"Edinburgh, Scotland",Mysterious,0–20,3–6,"Castles, Ghost Tours, Museums",2,Yes,120,5
"Edinburgh, Scotland",Vibrant,0–20,4–7,"Castles, Ghost Tours, Museums",2,Yes,116,4
"Edinburgh, Scotland",Romantic,0–20,4–7,"Castles, Ghost Tours, Museums",3,Yes,136,3
"Edinburgh, Scotland",Exotic,0–20,5–8,"Castles, Ghost Tours, Museums",5,Yes,134,3
"Edinburgh, Scotland",Adventurous,0–20,5–10,"Castles, Ghost Tours, Museums",3,Yes,98,5
"Edinburgh, Scotland",Relaxed,0–20,7–14,"Castles, Ghost Tours, Museums",3,Yes,107,4
"Tbilisi, Georgia",Charming,5–30,4–7,"Wine, History, Mountains",2,Yes,60,4
"Tbilisi, Georgia",Vibrant,5–30,10–15,"Wine, History, Mountains",1,Yes,64,4
"Tbilisi, Georgia",Vibrant,5–30,10–15,"Wine, History, Mountains",4,Yes,57,3
"Tbilisi, Georgia",Vibrant,5–30,7–14,"Wine, History, Mountains",1,Yes,60,3
"Tbilisi, Georgia",Exotic,5–30,10–15,"Wine, History, Mountains",1,Yes,68,5
"Tbilisi, Georgia",Exotic,5–30,4–7,"Wine, History, Mountains",2,Yes,68,3
"Lima, Peru",Coastal,15–25,3–6,"Food, History, Markets",2,Yes,70,4
"Lima, Peru",Calm,15–25,3–5,"Food, History, Markets",2,Yes,56,4
"Lima, Peru",Exotic,15–25,7–14,"Food, History, Markets",1,Yes,59,4
"Lima, Peru",Calm,15–25,3–5,"Food, History, Markets",4,Yes,81,3
"Lima, Peru",Energetic,15–25,7–14,"Food, History, Markets",4,Yes,79,5
"Lima, Peru",Exotic,15–25,7–14,"Food, History, Markets",4,Yes,74,5
"Vienna, Austria",Elegant,0–25,3–6,"Palaces, Music, Cafes",1,Yes,120,5
"Vienna, Austria",Relaxed,0–25,10–15,"Palaces, Music, Cafes",2,Yes,143,3
"Vienna, Austria",Relaxed,0–25,7–14,"Palaces, Music, Cafes",4,Yes,133,5
"Vienna, Austria",Relaxed,0–25,5–8,"Palaces, Music, Cafes",2,Yes,138,4
"Vienna, Austria",Exotic,0–25,5–10,"Palaces, Music, Cafes",2,Yes,101,3
"Vienna, Austria",Adventurous,0–25,5–8,"Palaces, Music, Cafes",2,Yes,139,4
"Dubrovnik, Croatia",Scenic,15–30,4–7,"Walls, Sea Kayaking, Old Town",2,Yes,100,5
"Dubrovnik, Croatia",Romantic,15–30,7–14,"Walls, Sea Kayaking, Old Town",1,Yes,110,5
"Dubrovnik, Croatia",Relaxed,15–30,10–15,"Walls, Sea Kayaking, Old Town",4,Yes,110,5
"Dubrovnik, Croatia",Calm,15–30,10–15,"Walls, Sea Kayaking, Old Town",5,Yes,100,4
"Dubrovnik, Croatia",Vibrant,15–30,7–14,"Walls, Sea Kayaking, Old Town",2,Yes,106,5
"Dubrovnik, Croatia",Vibrant,15–30,5–8,"Walls, Sea Kayaking, Old Town",3,Yes,81,4
"Siem Reap, Cambodia",Historic,25–35,3–5,"Temples, Markets, Culture",2,Yes,50,4
"Siem Reap, Cambodia",Calm,25–35,5–10,"Temples, Markets, Culture",4,Yes,42,5
"Siem Reap, Cambodia",Relaxed,25–35,4–7,"Temples, Markets, Culture",5,Yes,59,4
"Siem Reap, Cambodia",Vibrant,25–35,5–10,"Temples, Markets, Culture",3,Yes,43,3
"Siem Reap, Cambodia",Calm,25–35,10–15,"Temples, Markets, Culture",4,Yes,45,5
"Siem Reap, Cambodia",Romantic,25–35,3–5,"Temples, Markets, Culture",5,Yes,43,5
"Tallinn, Estonia",Quaint,-5–20,3–5,"Old Town, Castles, Cafes",1,Yes,80,5
"Tallinn, Estonia",Calm,-5–20,7–14,"Old Town, Castles, Cafes",4,Yes,84,3
"Tallinn, Estonia",Vibrant,-5–20,7–14,"Old Town, Castles, Cafes",4,Yes,68,5
"Tallinn, Estonia",Calm,-5–20,7–14,"Old Town, Castles, Cafes",3,Yes,79,5
"Tallinn, Estonia",Energetic,-5–20,5–10,"Old Town, Castles, Cafes",1,Yes,87,5
"Tallinn, Estonia",Calm,-5–20,5–10,"Old Town, Castles, Cafes",1,Yes,78,4
"Phuket, Thailand",Tropical,25–35,4–8,"Beaches, Islands, Parties",2,Yes,60,4
"Phuket, Thailand",Vibrant,25–35,3–5,"Beaches, Islands, Parties",3,Yes,61,4
"Phuket, Thailand",Exotic,25–35,7–14,"Beaches, Islands, Parties",4,Yes,72,4
"Phuket, Thailand",Vibrant,25–35,5–8,"Beaches, Islands, Parties",1,Yes,65,3
"Phuket, Thailand",Exotic,25–35,3–5,"Beaches, Islands, Parties",4,Yes,59,5
"Phuket, Thailand",Relaxed,25–35,4–7,"Beaches, Islands, Parties",5,Yes,58,3
"Helsinki, Finland",Modern,-10–20,3–5,"Design, Saunas, Museums",1,Yes,130,5
"Helsinki, Finland",Relaxed,-10–20,7–14,"Design, Saunas, Museums",2,Yes,146,3
"Helsinki, Finland",Vibrant,-10–20,5–8,"Design, Saunas, Museums",4,Yes,127,4
"Helsinki, Finland",Energetic,-10–20,5–8,"Design, Saunas, Museums",5,Yes,124,4
"Helsinki, Finland",Romantic,-10–20,4–7,"Design, Saunas, Museums",5,Yes,142,3
"Helsinki, Finland",Relaxed,-10–20,10–15,"Design, Saunas, Museums",1,Yes,154,3
"Cairo, Egypt",Historic,20–40,3–6,"Pyramids, Nile, Museums",3,Yes,60,3
"Cairo, Egypt",Vibrant,20–40,10–15,"Pyramids, Nile, Museums",2,Yes,50,4
"Cairo, Egypt",Energetic,20–40,5–10,"Pyramids, Nile, Museums",3,Yes,48,5
"Cairo, Egypt",Energetic,20–40,5–8,"Pyramids, Nile, Museums",2,Yes,49,5
"Cairo, Egypt",Adventurous,20–40,5–8,"Pyramids, Nile, Museums",4,Yes,50,4
"Cairo, Egypt",Energetic,20–40,7–14,"Pyramids, Nile, Museums",2,Yes,61,4
"Montreal, Canada",Cultural,-10–25,3–7,"Festivals, Food, Art",2,Yes,120,5
"Montreal, Canada",Calm,-10–25,4–7,"Festivals, Food, Art",1,Yes,99,4
"Montreal, Canada",Energetic,-10–25,5–10,"Festivals, Food, Art",4,Yes,104,4
"Montreal, Canada",Adventurous,-10–25,7–14,"Festivals, Food, Art",5,Yes,135,3
"Montreal, Canada",Relaxed,-10–25,7–14,"Festivals, Food, Art",2,Yes,137,3
"Montreal, Canada",Romantic,-10–25,7–14,"Festivals, Food, Art",4,Yes,133,4
"Kotor, Montenegro",Quiet,10–30,3–5,"Old Town, Hikes, Coastline",2,Yes,70,5
"Kotor, Montenegro",Exotic,10–30,7–14,"Old Town, Hikes, Coastline",2,Yes,77,4
"Kotor, Montenegro",Adventurous,10–30,5–10,"Old Town, Hikes, Coastline",3,Yes,64,5
"Kotor, Montenegro",Energetic,10–30,7–14,"Old Town, Hikes, Coastline",5,Yes,77,3
"Kotor, Montenegro",Energetic,10–30,5–8,"Old Town, Hikes, Coastline",1,Yes,64,4
"Kotor, Montenegro",Adventurous,10–30,10–15,"Old Town, Hikes, Coastline",3,Yes,77,5
"Mexico City, Mexico",Vibrant,15–30,4–7,"Culture, Food, Museums",2,Yes,80,4
"Mexico City, Mexico",Adventurous,15–30,4–7,"Culture, Food, Museums",4,Yes,72,5
"Mexico City, Mexico",Romantic,15–30,4–7,"Culture, Food, Museums",2,Yes,73,4
"Mexico City, Mexico",Calm,15–30,3–5,"Culture, Food, Museums",4,Yes,69,4
"Mexico City, Mexico",Relaxed,15–30,10–15,"Culture, Food, Museums",4,Yes,93,5
"Mexico City, Mexico",Romantic,15–30,10–15,"Culture, Food, Museums",2,Yes,66,4
"Riga, Latvia",Historic,-5–25,3–6,"Old Town, Architecture, Cafes",1,Yes,70,5
"Riga, Latvia",Relaxed,-5–25,5–8,"Old Town, Architecture, Cafes",4,Yes,64,3
"Riga, Latvia",Calm,-5–25,7–14,"Old Town, Architecture, Cafes",3,Yes,66,5
"Riga, Latvia",Energetic,-5–25,4–7,"Old Town, Architecture, Cafes",4,Yes,65,5
"Riga, Latvia",Relaxed,-5–25,3–5,"Old Town, Architecture, Cafes",1,Yes,57,4
"Riga, Latvia",Exotic,-5–25,3–5,"Old Town, Architecture, Cafes",3,Yes,74,5
"Auckland, New Zealand",Balanced,10–25,4–7,"Islands, Hiking, City Life",2,Yes,130,5
"Auckland, New Zealand",Vibrant,10–25,5–8,"Islands, Hiking, City Life",3,Yes,132,5
"Auckland, New Zealand",Romantic,10–25,3–5,"Islands, Hiking, City Life",4,Yes,116,5
"Auckland, New Zealand",Exotic,10–25,7–14,"Islands, Hiking, City Life",4,Yes,106,3
"Auckland, New Zealand",Romantic,10–25,3–5,"Islands, Hiking, City Life",3,Yes,137,3
"Auckland, New Zealand",Energetic,10–25,7–14,"Islands, Hiking, City Life",3,Yes,113,3
"Colombo, Sri Lanka",Tropical,25–35,3–6,"Beaches, Culture, Temples",2,Yes,60,4
"Colombo, Sri Lanka",Adventurous,25–35,3–5,"Beaches, Culture, Temples",1,Yes,49,5
"Colombo, Sri Lanka",Energetic,25–35,10–15,"Beaches, Culture, Temples",4,Yes,67,5
"Colombo, Sri Lanka",Vibrant,25–35,5–10,"Beaches, Culture, Temples",2,Yes,50,3
"Colombo, Sri Lanka",Calm,25–35,10–15,"Beaches, Culture, Temples",1,Yes,56,5
"Colombo, Sri Lanka",Energetic,25–35,4–7,"Beaches, Culture, Temples",2,Yes,49,5
"Sofia, Bulgaria",Affordable,5–30,3–6,"Churches, Hikes, History",2,Yes,50,4
"Sofia, Bulgaria",Adventurous,5–30,5–10,"Churches, Hikes, History",1,Yes,49,4
"Sofia, Bulgaria",Romantic,5–30,10–15,"Churches, Hikes, History",4,Yes,45,3
"Sofia, Bulgaria",Calm,5–30,5–8,"Churches, Hikes, History",2,Yes,44,3
"Sofia, Bulgaria",Calm,5–30,10–15,"Churches, Hikes, History",2,Yes,51,5
"Sofia, Bulgaria",Energetic,5–30,7–14,"Churches, Hikes, History",2,Yes,59,5
"Athens, Greece",Historic,15–35,3–6,"Ruins, Museums, Food",2,Yes,100,5
"Athens, Greece",Calm,15–35,4–7,"Ruins, Museums, Food",4,Yes,104,4
"Athens, Greece",Exotic,15–35,5–10,"Ruins, Museums, Food",4,Yes,96,5
"Athens, Greece",Energetic,15–35,10–15,"Ruins, Museums, Food",2,Yes,114,5
"Athens, Greece",Relaxed,15–35,5–8,"Ruins, Museums, Food",5,Yes,98,4
"Athens, Greece",Adventurous,15–35,7–14,"Ruins, Museums, Food",4,Yes,100,4
"Muscat, Oman",Quiet,20–35,4–6,"Mountains, Forts, Beaches",2,Yes,90,4
"Muscat, Oman",Energetic,20–35,10–15,"Mountains, Forts, Beaches",1,Yes,94,4
"Muscat, Oman",Adventurous,20–35,3–5,"Mountains, Forts, Beaches",4,Yes,85,4
"Muscat, Oman",Vibrant,20–35,3–5,"Mountains, Forts, Beaches",4,Yes,101,3
"Muscat, Oman",Adventurous,20–35,4–7,"Mountains, Forts, Beaches",3,Yes,90,5
"Muscat, Oman",Relaxed,20–35,7–14,"Mountains, Forts, Beaches",4,Yes,89,5
